ERRORS,id,name,profile_id,active,version
Could not find Org__c with the ExternalId__c of '70'.,34,"""water""",70,TRUE,13
Could not find Org__c with the ExternalId__c of '70'.,41,"""wells""",70,TRUE,19
Could not find Org__c with the ExternalId__c of '70'.,42,"""well""",70,TRUE,1
Could not find Org__c with the ExternalId__c of '70'.,43,"""news_3_2014_water""",70,TRUE,1
Could not find Org__c with the ExternalId__c of '100'.,80,"""discos""",100,TRUE,1
Could not find Org__c with the ExternalId__c of '102'.,81,"""site""",102,TRUE,5
Could not find Org__c with the ExternalId__c of '102'.,82,"""helloworld""",102,TRUE,1
Could not find Org__c with the ExternalId__c of '102'.,83,"""salesforce_simple""",102,TRUE,1
Could not find Org__c with the ExternalId__c of '102'.,84,"""salesforce_crud""",102,TRUE,1
Could not find Org__c with the ExternalId__c of '150'.,93,"""site""",150,TRUE,1
Could not find Org__c with the ExternalId__c of '160'.,108,"""site""",160,TRUE,1
Could not find Org__c with the ExternalId__c of '160'.,109,"""site2""",160,TRUE,1
Could not find Org__c with the ExternalId__c of '170'.,121,"""site""",170,TRUE,1
Could not find Org__c with the ExternalId__c of '170'.,124,"""app1""",170,TRUE,1
Could not find Org__c with the ExternalId__c of '180'.,132,"""site""",180,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,137,"""site""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '190'.,138,"""play""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '204'.,149,"""site""",204,TRUE,1
Could not find Org__c with the ExternalId__c of '206'.,150,"""site""",206,TRUE,1
Could not find Org__c with the ExternalId__c of '206'.,151,"""salesforce_crud""",206,TRUE,2
Could not find Org__c with the ExternalId__c of '207'.,157,"""site""",207,TRUE,1
Could not find Org__c with the ExternalId__c of '208'.,158,"""site""",208,TRUE,1
Could not find Org__c with the ExternalId__c of '208'.,159,"""salesforce_crud""",208,TRUE,4
Could not find Org__c with the ExternalId__c of '70'.,160,"""miami""",70,TRUE,6
Could not find Org__c with the ExternalId__c of '209'.,161,"""tester""",209,TRUE,1
Could not find Org__c with the ExternalId__c of '210'.,162,"""site""",210,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,186,"""angular""",190,TRUE,28
Could not find Org__c with the ExternalId__c of '220'.,192,"""site""",220,TRUE,1
Could not find Org__c with the ExternalId__c of '220'.,193,"""angular""",220,TRUE,1
Could not find Org__c with the ExternalId__c of '220'.,194,"""teste""",220,TRUE,9
Could not find Org__c with the ExternalId__c of '190'.,199,"""flarens""",190,TRUE,6
Could not find Org__c with the ExternalId__c of '190'.,200,"""angular_static""",190,TRUE,4
Could not find Org__c with the ExternalId__c of '190'.,201,"""modafoka""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,205,"""smarens""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,207,"""salesforce_crud""",190,TRUE,4
Could not find Org__c with the ExternalId__c of '190'.,208,"""4salesforce""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '190'.,209,"""forsalesforce""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '220'.,210,"""salesforce_crud""",220,TRUE,10
Could not find Org__c with the ExternalId__c of '190'.,211,"""test""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '190'.,212,"""test_multi""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,214,"""gstart""",190,TRUE,40
Could not find Org__c with the ExternalId__c of '190'.,215,"""gstart_mobile""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,223,"""maisuma""",190,TRUE,4
Could not find Org__c with the ExternalId__c of '190'.,231,"""angular_integrate""",190,TRUE,2
Could not find Org__c with the ExternalId__c of '230'.,232,"""site""",230,TRUE,1
Could not find Org__c with the ExternalId__c of '230'.,234,"""tutorial""",230,TRUE,4
Could not find Org__c with the ExternalId__c of '190'.,242,"""first""",190,TRUE,2
Could not find Org__c with the ExternalId__c of '240'.,268,"""opp_creator""",240,TRUE,3
Could not find Org__c with the ExternalId__c of '190'.,277,"""teste""",190,TRUE,1
Could not find Org__c with the ExternalId__c of '250'.,278,"""clay""",250,TRUE,1
Could not find Org__c with the ExternalId__c of '240'.,284,"""salesforce_crud""",240,TRUE,1
Could not find Org__c with the ExternalId__c of '240'.,286,"""clay_multi_platform""",240,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,293,"""app""",190,TRUE,2
Could not find Org__c with the ExternalId__c of '190'.,296,"""new""",190,TRUE,6
Could not find Org__c with the ExternalId__c of '240'.,302,"""accounts""",240,TRUE,1
Could not find Org__c with the ExternalId__c of '190'.,319,"""lead""",190,TRUE,3
Could not find Org__c with the ExternalId__c of '340'.,368,"""3votlanding""",340,TRUE,3
Could not find Org__c with the ExternalId__c of '360'.,386,"""3vot-is-fast""",360,TRUE,8
Could not find Org__c with the ExternalId__c of '400'.,434,"""perfil""",400,TRUE,4
Could not find Org__c with the ExternalId__c of '401'.,435,"""ras_arratao""",401,TRUE,5
Could not find Org__c with the ExternalId__c of '402'.,439,"""geovanny""",402,TRUE,3
Could not find Org__c with the ExternalId__c of '403'.,441,"""profile-a""",403,TRUE,2
Could not find Org__c with the ExternalId__c of '430'.,489,"""page""",430,TRUE,1
